line_number,start_stop,end_stop
269,Czułówek Kapliczka,Os. Podwawelskie
269,Czułówek Kapliczka,Rondo Grunwaldzkie
113,Czyżyny Dworzec,EC Łęg
129,Czyżyny Dworzec,Dworzec Główny Zachód
152,Czyżyny Dworzec,Cmentarz Olszanica (nż)
202,Czyżyny Dworzec,Łososkowice Remiza
212,Czyżyny Dworzec,Czulice Kościół
222,Czyżyny Dworzec,Słomniki Osiedle
232,Czyżyny Dworzec,Goszcza Dworek
262,Czyżyny Dworzec,Rawałowice Kapliczka
603,Czyżyny Dworzec,Na Załęczu
611,Czyżyny Dworzec,Chełmońskiego Pętla
701,Czyżyny Dworzec,Wzgórza Krzesławickie
239,Dąbrowa Szlachecka Krzemiennik,Os. Podwawelskie
182,Dworzec Główny Wschód,Os. Na Stoku
192,Dworzec Główny Wschód,Chełm
192,Dworzec Główny Wschód,Olszanica Bory
482,Dworzec Główny Wschód,Mistrzejowice
537,Dworzec Główny Wschód,Witkowice
609,Dworzec Główny Wschód,Bielany
902,Dworzec Główny Wschód,Kraków Airport
105,Dworzec Główny Zachód,Prądnik Czerwony
129,Dworzec Główny Zachód,Czyżyny Dworzec
130,Dworzec Główny Zachód,Azory
132,Dworzec Główny Zachód,Kombinat
179,Dworzec Główny Zachód,Os. Kurdwanów
304,Dworzec Główny Zachód,Wieliczka Miasto
405,Dworzec Główny Zachód,Cmentarz Prądnik Czerwony
17,Dworzec Towarowy,Czerwone Maki P+R
44,Dworzec Towarowy,Kombinat
44,Dworzec Towarowy,Kopiec Wandy
297,Dziekanowice Batowice SKA,Boleń Pętla
113,EC Łęg,Czyżyny Dworzec
255,Gaj Zadziele,Borek Fałęcki
220,Giebułtów Morgi,Krowodrza Górka P+R
135,Golkowice Pętla,Kurdwanów P+R
135,Golkowice Pętla,Łagiewniki
254,Golkowice Pętla,Borek Fałęcki
232,Goszcza Dworek,Czyżyny Dworzec
193,Górka Narodowa P+R,Lesisko
217,Górka Narodowa P+R,Węgrzce Pętla
247,Górka Narodowa P+R,Bibice Rynek
257,Górka Narodowa P+R,Narama Remiza
277,Górka Narodowa P+R,Iwanowice Dworskie Pętla
280,Górka Narodowa P+R,Owczary Pętla
503,Górka Narodowa P+R,Nowy Bieżanów Południe
18,Górka Narodowa P+R,Czerwone Maki P+R
50,Górka Narodowa P+R,Borek Fałęcki
50,Górka Narodowa P+R,Kurdwanów P+R
69,Górka Narodowa P+R,Nowy Bieżanów P+R
227,Górna Wieś Pętla,Krowodrza Górka P+R
917,Górna Wieś Pętla,Krowodrza Górka P+R
264,Grabie Kościół,Mały Płaszów P+R
295,Grabie Pętla,Skawina SCK
214,Grabówki Pętla,Borek Fałęcki
254,Grabówki Pętla,Borek Fałęcki
180,Grębałów,Os. Na Stoku
277,Iwanowice Dworskie Pętla,Górka Narodowa P+R
219,Jeziorzany Pętla,Os. Podwawelskie
239,Jeziorzany Pętla,Os. Podwawelskie
229,Kamień Szkoła,Os. Podwawelskie
229,Kamień Szkoła,Rondo Grunwaldzkie
268,Karniowice Pętla,Bronowice Małe
121,Kliny Poranne,Borek Fałęcki
272,Kocmyrzów-Luborzyca Urząd Gminy,Kombinat
132,Kombinat,Dworzec Główny Zachód
138,Kombinat,Azory
139,Kombinat,Przybyszewskiego
172,Kombinat,Bronowice Małe
174,Kombinat,Os. Kurdwanów
242,Kombinat,Krzysztoforzyce Pętla
272,Kombinat,Kocmyrzów-Luborzyca Urząd Gminy
742,Kombinat,Wzgórza Krzesławickie
265,Konary Pętla,Borek Fałęcki
293,Kopanka Pętla,Borek Fałęcki
101,Kopiec Kościuszki,Os. Podwawelskie
21,Kopiec Wandy,Os.Piastów
22,Kopiec Wandy,Borek Fałęcki
44,Kopiec Wandy,Dworzec Towarowy
176,Kostrze OSP,Bodzów
476,Kostrze OSP,Czerwone Maki P+R
496,Kostrze OSP,Łagiewniki
196,Kozienicka,Łagiewniki
300,Kraków Airport,Os. Podwawelskie
902,Kraków Airport,Dworzec Główny Wschód
102,Krowodrza Górka P+R,Bielany
137,Krowodrza Górka P+R,Os. Gotyk
168,Krowodrza Górka P+R,Chełmońskiego Pętla
194,Krowodrza Górka P+R,Pod Fortem
207,Krowodrza Górka P+R,Trojanowice Pętla
220,Krowodrza Górka P+R,Giebułtów Morgi
227,Krowodrza Górka P+R,Górna Wieś Pętla
240,Krowodrza Górka P+R,Pękowice Ojcowska
267,Krowodrza Górka P+R,Skała Rynek
287,Krowodrza Górka P+R,Zielonki Marszowiec Pętla
290,Krowodrza Górka P+R,Pękowice Ojcowska
297,Krowodrza Górka P+R,Boleń Pętla
513,Krowodrza Górka P+R,Miejskie Centrum Opieki
637,Krowodrza Górka P+R,Os. Gotyk
669,Krowodrza Górka P+R,Nowy Bieżanów P+R
917,Krowodrza Górka P+R,Górna Wieś Pętla
937,Krowodrza Górka P+R,Owczary Pętla
19,Krowodrza Górka P+R,Borek Fałęcki
3,Krowodrza Górka P+R,Nowy Bieżanów P+R
5,Krowodrza Górka P+R,Wańkowicza
278,Krzeszowice Dworzec Autobusowy,Bronowice Małe
213,Krzęcin Pętla,Czerwone Maki P+R
213,Krzęcin Pętla,Skawina
242,Krzysztoforzyce Pętla,Kombinat
181,Kujawy,Pleszów
10,Kurdwanów P+R,Bardosa
10,Kurdwanów P+R,Pleszów
24,Kurdwanów P+R,Bronowice Małe
50,Kurdwanów P+R,Górka Narodowa P+R
103,Lesisko,Aleja Przyjaźni
149,Lesisko,Szpital Okulistyczny
193,Lesisko,Górka Narodowa P+R
255,Lusina Pętla,Borek Fałęcki
106,Łagiewniki,Skotniki Szkoła
133,Łagiewniki,Nowy Bieżanów P+R
135,Łagiewniki,Golkowice Pętla
136,Łagiewniki,Pod Fortem
178,Łagiewniki,Mistrzejowice
196,Łagiewniki,Kozienicka
433,Łagiewniki,Piaski Wielkie
496,Łagiewniki,Kostrze OSP
915,Łagiewniki,Świątniki Górne Urząd Miasta i Gminy
10,Łagiewniki,Pleszów
8,Łagiewniki,Bronowice Małe
202,Łososkowice Remiza,Czyżyny Dworzec
123,Mały Płaszów P+R,Mistrzejowice
125,Mały Płaszów P+R,Rżąka
221,Mały Płaszów P+R,Niepołomice Dworzec
264,Mały Płaszów P+R,Grabie Kościół
425,Mały Płaszów P+R,Złocień
11,Mały Płaszów P+R,Czerwone Maki P+R
20,Mały Płaszów P+R,Cichy Kącik
72,Mały Płaszów P+R,Cmentarz Rakowicki
307,Michałowice P+R,Cracovia Stadion
513,Miejskie Centrum Opieki,Krowodrza Górka P+R
123,Mistrzejowice,Mały Płaszów P+R
178,Mistrzejowice,Łagiewniki
198,Mistrzejowice,Zakole
482,Mistrzejowice,Dworzec Główny Wschód
578,Mistrzejowice,Czerwone Maki P+R
14,Mistrzejowice,Bronowice
16,Mistrzejowice,Bardosa
9,Mistrzejowice,Nowy Bieżanów P+R
238,Młynka Pętla,Bronowice Małe
209,Mników Skały,Os. Podwawelskie
730,Modlniczka Dworska,Bronowice Małe
209,Morawica Centrum,Os. Podwawelskie
209,Morawica Centrum,Rondo Grunwaldzkie
228,Morawica Centrum,Bronowice Małe
164,Mydlniki Wapiennik P+R,Piaski Nowe
199,Mydlniki Wapiennik P+R,Prądnik Czerwony
601,Mydlniki Wapiennik P+R,Zajezdnia Bieńczyce
601,Mydlniki Wapiennik P+R,Zajezdnia Nowa Huta
413,Na Załęczu,Rondo Czyżyńskie
603,Na Załęczu,Czyżyny Dworzec
257,Narama Remiza,Górka Narodowa P+R
258,Nielepice Pętla,Bronowice Małe
221,Niepołomice Dworzec,Mały Płaszów P+R
301,Niepołomice Dworzec,Nowy Kleparz
249,Nowa Wieś Szlachecka Pętla,Os. Podwawelskie
224,Nowosądecka,Wieliczka Miasto
904,Nowosądecka,Prądnik Biały
133,Nowy Bieżanów P+R,Kurdwanów P+R
133,Nowy Bieżanów P+R,Łagiewniki
153,Nowy Bieżanów P+R,Bieżanów Potrzask
669,Nowy Bieżanów P+R,Krowodrza Górka P+R
669,Nowy Bieżanów P+R,Podgórze SKA
13,Nowy Bieżanów P+R,Bronowice
3,Nowy Bieżanów P+R,Krowodrza G. P+R
49,Nowy Bieżanów P+R,Wieczysta
69,Nowy Bieżanów P+R,Górka Narodowa P+R
69,Nowy Bieżanów P+R,Podgórze SKA
9,Nowy Bieżanów P+R,Mistrzejowice
153,Nowy Bieżanów Południe,Bieżanów Potrzask
163,Nowy Bieżanów Południe,Szpital Rydygiera
173,Nowy Bieżanów Południe,Azory
234,Nowy Bieżanów Południe,Węgrzce Wielkie Pętla
244,Nowy Bieżanów Południe,Wieliczka Miasto
284,Nowy Bieżanów Południe,Wieliczka Centrum
503,Nowy Bieżanów Południe,Górka Narodowa P+R
120,Nowy Kleparz,Bronowice Małe
140,Nowy Kleparz,Radzikowskiego Osiedle
189,Nowy Kleparz,Plac Centralny im. R.Reagana
301,Nowy Kleparz,Niepołomice Dworzec
337,Nowy Kleparz,Owczary Pętla
420,Nowy Kleparz,Tonie
235,Ochodza Dwór,Borek Fałęcki
235,Ochodza Odwiśle,Borek Fałęcki
285,Ochojno Remiza,Borek Fałęcki
990,Ojców Zamek,Os. Podwawelskie
192,Olszanica Bory,Dworzec Główny Wschód
137,Os. Gotyk,Krowodrza Górka P+R
637,Os. Gotyk,Krowodrza Górka P+R
174,Os. Kurdwanów,Kombinat
179,Os. Kurdwanów,Dworzec Główny Zachód
142,Os. Na Stoku,Aleja Przyjaźni
180,Os. Na Stoku,Grębałów
182,Os. Na Stoku,Dworzec Główny Wschód
442,Os. Na Stoku,Cmentarz Prądnik Czerwony
511,Os. Na Stoku,Chełmońskiego Pętla
608,Os. Na Stoku,Pod Fortem
159,Os. Piastów,Cichy Kącik
664,Os. Piastów,Bronowice Małe
664,Os. Piastów,Teatr Słowackiego
21,Os. Piastów,Kombinat
21,Os. Piastów,Kopiec Wandy
21,Os. Piastów,Pleszów
52,Os. Piastów,Czerwone Maki P+R
64,Os. Piastów,Bronowice Małe
64,Os. Piastów,Teatr Słowackiego
101,Os. Podwawelskie,Kopiec Kościuszki
112,Os. Podwawelskie,Tyniec Kamieniołom
124,Os. Podwawelskie,TAURON Arena Kraków Wieczysta
162,Os. Podwawelskie,Podgórki Tynieckie
209,Os. Podwawelskie,Mników Skały
209,Os. Podwawelskie,Morawica Centrum
219,Os. Podwawelskie,Jeziorzany Pętla
